kind,duty_deg_per_s,J,label,params
search,1.9296,21.889,es r=0.225 qt=2.7,"{""horizon"": 20, ""r"": 0.225, ""qt"": 2.7, ""wc_v"": 0.538, ""tau_adapt"": 6.12, ""adapt"": ""offset""}"
search,3.6981,16.158,es r=0.103 qt=3.34,"{""horizon"": 20, ""r"": 0.103, ""qt"": 3.34, ""wc_v"": 0.273, ""tau_adapt"": 4.89, ""adapt"": ""offset""}"
search,0.796,18.838,es r=0.599 qt=2.94,"{""horizon"": 20, ""r"": 0.599, ""qt"": 2.94, ""wc_v"": 0.338, ""tau_adapt"": 4.19, ""adapt"": ""offset""}"
search,1.4936,18.136,es r=0.178 qt=3.03,"{""horizon"": 15, ""r"": 0.178, ""qt"": 3.03, ""wc_v"": 0.206, ""tau_adapt"": 8.38, ""adapt"": ""offset""}"
search,1.5765,11.14,es r=0.347 qt=3.05,"{""horizon"": 30, ""r"": 0.347, ""qt"": 3.05, ""wc_v"": 0.194, ""tau_adapt"": 8.33, ""adapt"": ""offset""}"
search,2.6069,5.353,es r=0.172 qt=2.65,"{""horizon"": 30, ""r"": 0.172, ""qt"": 2.65, ""wc_v"": 0.418, ""tau_adapt"": 6.44, ""adapt"": ""offset""}"
search,1.6779,14.184,es r=0.3 qt=1.43,"{""horizon"": 20, ""r"": 0.3, ""qt"": 1.43, ""wc_v"": 0.511, ""tau_adapt"": 3.99, ""adapt"": ""offset""}"
search,1.7431,22.685,es r=0.249 qt=3.21,"{""horizon"": 20, ""r"": 0.249, ""qt"": 3.21, ""wc_v"": 0.398, ""tau_adapt"": 4.18, ""adapt"": ""offset""}"
search,1.5863,18.636,es r=0.289 qt=4.8,"{""horizon"": 20, ""r"": 0.289, ""qt"": 4.8, ""wc_v"": 0.347, ""tau_adapt"": 8.4, ""adapt"": ""offset""}"
search,1.6337,22.531,random r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,0.604,-7.176,random r=0.299 qt=3.09,"{""horizon"": 10, ""r"": 0.299, ""qt"": 3.09, ""wc_v"": 0.108, ""tau_adapt"": 1.65, ""adapt"": ""offset""}"
search,4.6601,-55.053,random r=0.0415 qt=0.21,"{""horizon"": 15, ""r"": 0.0415, ""qt"": 0.21, ""wc_v"": 1.3, ""tau_adapt"": 8.29, ""adapt"": ""rls""}"
search,1.8518,6.636,random r=0.316 qt=4.38,"{""horizon"": 30, ""r"": 0.316, ""qt"": 4.38, ""wc_v"": 0.211, ""tau_adapt"": 1.6, ""adapt"": ""offset""}"
search,0.4848,-0.432,random r=0.657 qt=1.86,"{""horizon"": 15, ""r"": 0.657, ""qt"": 1.86, ""wc_v"": 0.913, ""tau_adapt"": 6.47, ""adapt"": ""rls""}"
search,3.224,-20.378,random r=0.0769 qt=2.35,"{""horizon"": 30, ""r"": 0.0769, ""qt"": 2.35, ""wc_v"": 0.37, ""tau_adapt"": 3.33, ""adapt"": ""rls""}"
search,3.973,-41.022,random r=0.0887 qt=9.71,"{""horizon"": 30, ""r"": 0.0887, ""qt"": 9.71, ""wc_v"": 1.05, ""tau_adapt"": 1.55, ""adapt"": ""rls""}"
search,2.5564,-24.878,random r=0.108 qt=0.161,"{""horizon"": 30, ""r"": 0.108, ""qt"": 0.161, ""wc_v"": 1.13, ""tau_adapt"": 4.32, ""adapt"": ""offset""}"
